STCD,STEP
20515800,0 days 01:00:00
20515801,0 days 01:00:00
20524900,0 days 01:00:00
20600569,0 days 01:00:00
20600850,0 days 01:00:00
20700165,0 days 01:00:00
20700239,0 days 01:00:00
20801237,0 days 01:00:00
20801427,0 days 01:00:00
20810489,0 days 01:00:00
20810570,0 days 01:00:00
20900077,0 days 01:00:00
20900139,0 days 01:00:00
20900147,0 days 01:00:00
20900737,0 days 01:00:00
20900809,0 days 01:00:00
20911109,0 days 01:00:00
20911457,0 days 01:00:00
20911487,0 days 01:00:00
20911577,0 days 01:00:00
21010789,0 days 01:00:00
21010857,0 days 01:00:00
21011517,0 days 01:00:00
21011787,0 days 01:00:00
21103130,0 days 01:00:00
21103257,0 days 01:00:00
21105709,0 days 01:00:00
21105889,0 days 01:00:00
21106077,0 days 01:00:00
21111057,0 days 01:00:00
21113277,0 days 01:00:00
21113337,0 days 01:00:00
21113377,0 days 01:00:00
21113637,0 days 01:00:00
21114617,0 days 01:00:00
21210957,0 days 01:00:00
21211577,0 days 01:00:00
21300737,0 days 01:00:00
21312267,0 days 01:00:00
21400417,0 days 01:00:00
21400437,0 days 01:00:00
21400539,0 days 01:00:00
21400589,0 days 01:00:00
21400627,0 days 01:00:00
11103600,0 days 02:00:00
11202600,0 days 02:00:00
10800701,0 days 06:00:00
10801300,0 days 06:00:00
11400900,0 days 06:00:00
20205000,0 days 06:00:00
20205510,0 days 06:00:00
20308000,0 days 06:00:00
20600050,0 days 06:00:00
20600100,0 days 06:00:00
20600340,0 days 06:00:00
20700300,0 days 06:00:00
20800900,0 days 06:00:00
20801000,0 days 06:00:00
20810200,0 days 06:00:00
20810500,0 days 06:00:00
20910930,0 days 06:00:00
20911090,0 days 06:00:00
21110400,0 days 06:00:00
21110550,0 days 06:00:00
21113800,0 days 06:00:00
10701300,1 days 00:00:00
10811800,1 days 00:00:00
10901810,1 days 00:00:00
10912404,1 days 00:00:00
10914200,1 days 00:00:00
11000200,1 days 00:00:00
11000500,1 days 00:00:00
11001300,1 days 00:00:00
11002620,1 days 00:00:00
11100581,1 days 00:00:00
11101142,1 days 00:00:00
11105420,1 days 00:00:00
11205810,1 days 00:00:00
11206800,1 days 00:00:00
11208400,1 days 00:00:00
11209210,1 days 00:00:00
11300600,1 days 00:00:00
11301400,1 days 00:00:00
11304420,1 days 00:00:00
11304830,1 days 00:00:00
11305410,1 days 00:00:00
11306400,1 days 00:00:00
11306590,1 days 00:00:00
11405810,1 days 00:00:00
20107000,1 days 00:00:00
20107300,1 days 00:00:00
20110350,1 days 00:00:00
20111800,1 days 00:00:00
20113500,1 days 00:00:00
20405600,1 days 00:00:00
20405610,1 days 00:00:00
20500100,1 days 00:00:00
20600200,1 days 00:00:00
20800850,1 days 00:00:00
20810150,1 days 00:00:00
20810400,1 days 00:00:00
21100110,1 days 00:00:00
21100150,1 days 00:00:00
21100650,1 days 00:00:00
21110150,1 days 00:00:00
