TM,Z
2020-04-11 08:00:00,0.58
2020-04-21 08:00:00,0.48
2020-05-11 08:00:00,0.64
2020-05-21 08:00:00,1.26
2020-06-01 08:00:00,1.09
2020-06-02 08:00:00,1.26
2020-06-03 08:00:00,1.51
2020-06-04 08:00:00,1.6
2020-06-05 08:00:00,1.25
2020-06-06 08:00:00,0.96
2020-06-07 08:00:00,0.65
2020-06-08 08:00:00,0.86
2020-06-09 08:00:00,0.92
2020-06-10 08:00:00,0.83
2020-06-11 08:00:00,0.93
2020-06-12 08:00:00,0.81
2020-06-13 08:00:00,0.98
2020-06-14 08:00:00,0.88
2020-06-15 08:00:00,0.85
2020-06-16 08:00:00,0.79
2020-06-17 08:00:00,0.99
2020-06-18 08:00:00,1.13
2020-06-19 08:00:00,0.88
2020-06-20 08:00:00,1.07
2020-06-21 08:00:00,1.26
2020-06-22 08:00:00,0.99
2020-06-23 08:00:00,0.75
2020-06-24 08:00:00,0.77
2020-06-25 08:00:00,0.95
2020-06-26 08:00:00,0.85
2020-06-27 08:00:00,0.91
2020-06-28 08:00:00,0.94
2020-06-29 08:00:00,0.91
2020-06-30 08:00:00,0.92
2020-07-01 08:00:00,0.62
2020-07-02 08:00:00,0.95
2020-07-03 08:00:00,1.13
2020-07-04 08:00:00,1.17
2020-07-05 08:00:00,1.22
2020-07-06 08:00:00,0.75
2020-07-07 08:00:00,0.77
2020-07-08 08:00:00,0.76
2020-07-09 08:00:00,0.75
2020-07-10 08:00:00,0.89
2020-07-10 14:00:00,1.06
2020-07-11 08:00:00,0.83
2020-07-11 14:00:00,1.02
2020-07-12 08:00:00,0.77
2020-07-12 14:00:00,0.91
2020-07-13 08:00:00,0.75
2020-07-13 14:00:00,0.95
2020-07-14 08:00:00,0.7
2020-07-14 14:00:00,0.54
2020-07-15 08:00:00,0.69
2020-07-15 14:00:00,0.52
2020-07-16 08:00:00,0.77
2020-07-16 14:00:00,0.67
2020-07-17 08:00:00,0.86
2020-07-17 14:00:00,0.51
2020-07-18 08:00:00,1.09
2020-07-18 14:00:00,0.53
2020-07-19 08:00:00,1.01
2020-07-19 14:00:00,0.55
2020-07-20 08:00:00,0.84
2020-07-20 14:00:00,0.6
2020-07-21 08:00:00,0.62
2020-07-21 14:00:00,0.66
2020-07-22 08:00:00,0.7
2020-07-22 14:00:00,0.8
2020-07-23 08:00:00,0.77
2020-07-23 14:00:00,0.78
2020-07-24 08:00:00,0.97
2020-07-24 14:00:00,0.84
2020-07-25 08:00:00,0.72
2020-07-25 14:00:00,0.88
2020-07-26 08:00:00,0.94
2020-07-26 14:00:00,1.63
2020-07-27 08:00:00,0.97
2020-07-27 14:00:00,1.55
2020-07-28 08:00:00,0.93
2020-07-28 14:00:00,1.27
2020-07-29 08:00:00,0.83
2020-07-29 14:00:00,0.59
2020-07-30 08:00:00,0.88
2020-07-30 14:00:00,0.72
2020-07-31 08:00:00,0.92
2020-07-31 14:00:00,0.55
2020-08-01 08:00:00,1.18
2020-08-01 14:00:00,0.55
2020-08-02 08:00:00,1.15
2020-08-02 14:00:00,0.65
2020-08-03 08:00:00,0.95
2020-08-03 14:00:00,0.73
2020-08-04 08:00:00,1.14
2020-08-04 14:00:00,0.94
2020-08-05 08:00:00,0.85
2020-08-05 14:00:00,0.94
2020-08-06 08:00:00,0.83
2020-08-06 14:00:00,0.99
2020-08-07 08:00:00,0.78
2020-08-07 14:00:00,0.85
2020-08-08 08:00:00,0.74
2020-08-08 14:00:00,1.13
2020-08-09 08:00:00,0.86
2020-08-09 14:00:00,1.28
2020-08-10 08:00:00,0.89
2020-08-10 14:00:00,1.62
2020-08-11 08:00:00,0.89
2020-08-11 14:00:00,1.47
2020-08-12 08:00:00,0.8
2020-08-12 14:00:00,1.1
2020-08-13 08:00:00,0.64
2020-08-13 14:00:00,1.28
2020-08-14 08:00:00,0.87
2020-08-14 14:00:00,0.67
2020-08-15 08:00:00,0.72
2020-08-15 14:00:00,0.47
2020-08-16 08:00:00,0.87
2020-08-16 14:00:00,0.48
2020-08-17 08:00:00,0.96
2020-08-17 14:00:00,0.54
2020-08-18 08:00:00,1.13
2020-08-18 14:00:00,0.96
2020-08-19 06:00:00,1.12
2020-08-19 08:00:00,0.97
2020-08-19 14:00:00,1.02
2020-08-20 08:00:00,0.92
2020-08-20 14:00:00,0.84
2020-08-21 08:00:00,0.86
2020-08-21 14:00:00,1.03
2020-08-22 08:00:00,0.97
2020-08-22 14:00:00,1.6
2020-08-23 08:00:00,1.95
2020-08-23 14:00:00,2.29
2020-08-24 08:00:00,2.18
2020-08-24 14:00:00,2.89
2020-08-25 08:00:00,2.33
2020-08-25 14:00:00,2.69
2020-08-26 08:00:00,2.07
2020-08-26 14:00:00,2.77
2020-08-27 02:00:00,2.55
2020-08-27 05:00:00,2.55
2020-08-27 06:00:00,2.53
2020-08-27 08:00:00,2.57
2020-08-27 11:00:00,2.61
2020-08-27 14:00:00,2.76
2020-08-27 17:00:00,3.05
2020-08-27 20:00:00,3.0
2020-08-27 23:00:00,2.88
2020-08-28 02:00:00,2.98
2020-08-28 05:00:00,3.04
2020-08-28 06:00:00,3.05
2020-08-28 08:00:00,3.05
2020-08-28 11:00:00,3.03
2020-08-28 14:00:00,3.0
2020-08-28 17:00:00,3.27
2020-08-28 20:00:00,3.22
2020-08-28 23:00:00,3.08
2020-08-29 02:00:00,3.0
2020-08-29 05:00:00,2.99
2020-08-29 06:00:00,3.0
