TM,Z
2020-01-01 08:00:00,361.95
2020-01-11 08:00:00,361.95
2020-01-21 08:00:00,361.95
2020-02-01 08:00:00,361.95
2020-02-11 08:00:00,361.95
2020-02-21 08:00:00,361.95
2020-03-01 08:00:00,361.95
2020-03-11 08:00:00,361.95
2020-03-21 08:00:00,361.96
2020-04-01 08:00:00,362.04
2020-04-11 08:00:00,362.37
2020-04-21 08:00:00,362.83
2020-05-01 08:00:00,363.28
2020-05-11 08:00:00,363.97
2020-05-21 08:00:00,363.19
2020-06-01 08:00:00,362.2
2020-06-02 08:00:00,362.13
2020-06-03 08:00:00,362.03
2020-06-04 08:00:00,361.99
2020-06-05 08:00:00,361.9
2020-06-06 08:00:00,361.82
2020-06-07 08:00:00,361.73
2020-06-08 08:00:00,361.64
2020-06-09 08:00:00,361.54
2020-06-10 08:00:00,361.43
2020-06-11 08:00:00,361.31
2020-06-12 08:00:00,361.2
2020-06-13 08:00:00,361.1
2020-06-14 08:00:00,361.0
2020-06-15 08:00:00,360.89
2020-06-16 08:00:00,360.79
2020-06-17 08:00:00,360.69
2020-06-18 08:00:00,360.58
2020-06-19 08:00:00,360.47
2020-06-20 08:00:00,360.36
2020-06-21 08:00:00,360.25
2020-06-22 08:00:00,360.16
2020-06-23 08:00:00,360.06
2020-06-24 08:00:00,359.95
2020-06-25 08:00:00,359.85
2020-06-26 08:00:00,359.75
2020-06-27 08:00:00,359.66
2020-06-28 08:00:00,359.6
2020-06-29 08:00:00,359.53
2020-06-30 08:00:00,359.47
2020-07-01 08:00:00,359.42
2020-07-02 08:00:00,359.35
2020-07-03 08:00:00,359.29
2020-07-04 08:00:00,359.22
2020-07-05 08:00:00,359.1
2020-07-06 08:00:00,359.02
2020-07-07 08:00:00,358.97
2020-07-08 08:00:00,358.88
2020-07-09 08:00:00,358.79
2020-07-10 08:00:00,358.69
2020-07-11 08:00:00,359.58
2020-07-12 08:00:00,358.46
2020-07-13 08:00:00,358.34
2020-07-14 08:00:00,358.22
2020-07-15 08:00:00,358.11
2020-07-16 08:00:00,357.99
2020-07-17 08:00:00,357.87
2020-07-18 08:00:00,357.76
2020-07-19 08:00:00,357.64
2020-07-20 08:00:00,357.53
2020-07-21 08:00:00,357.54
2020-07-22 08:00:00,357.56
2020-07-23 08:00:00,357.53
2020-07-24 08:00:00,357.41
2020-07-25 08:00:00,357.29
2020-07-26 08:00:00,357.16
2020-07-27 08:00:00,357.03
2020-07-28 08:00:00,356.91
2020-07-29 08:00:00,356.78
2020-07-30 08:00:00,356.66
2020-07-31 08:00:00,356.53
2020-08-01 08:00:00,356.4
2020-08-02 08:00:00,356.27
2020-08-03 08:00:00,356.14
2020-08-04 08:00:00,356.02
2020-08-05 08:00:00,355.89
2020-08-06 08:00:00,355.76
2020-08-07 08:00:00,355.63
2020-08-08 08:00:00,355.51
2020-08-09 08:00:00,355.36
2020-08-10 08:00:00,355.21
2020-08-11 08:00:00,355.07
2020-08-12 08:00:00,354.95
2020-08-13 08:00:00,354.81
2020-08-14 08:00:00,354.73
2020-08-15 08:00:00,354.63
2020-08-16 08:00:00,354.51
2020-08-17 08:00:00,354.38
2020-08-18 08:00:00,354.3
2020-08-19 08:00:00,354.23
2020-08-20 08:00:00,354.32
2020-08-21 08:00:00,354.39
2020-08-22 08:00:00,354.44
2020-08-23 08:00:00,354.47
2020-08-24 08:00:00,354.49
2020-08-25 08:00:00,354.43
2020-08-26 08:00:00,354.36
2020-08-27 08:00:00,354.3
2020-08-28 08:00:00,354.39
2020-08-29 08:00:00,354.56
2020-08-30 08:00:00,354.83
2020-08-31 08:00:00,355.16
2020-09-01 08:00:00,355.36
2020-09-02 08:00:00,355.51
2020-09-03 08:00:00,355.72
2020-09-04 08:00:00,356.18
2020-09-05 08:00:00,356.83
2020-09-06 08:00:00,357.16
2020-09-07 08:00:00,357.4
2020-09-08 08:00:00,358.05
2020-09-09 08:00:00,358.93
2020-09-10 08:00:00,359.55
2020-09-11 08:00:00,359.98
2020-09-12 08:00:00,360.31
2020-09-13 08:00:00,360.56
2020-09-14 08:00:00,360.78
2020-09-15 08:00:00,360.97
2020-09-16 08:00:00,361.13
2020-09-17 08:00:00,361.27
2020-09-18 08:00:00,361.39
2020-09-19 08:00:00,361.51
2020-09-20 08:00:00,361.63
2020-09-21 08:00:00,361.74
2020-09-22 08:00:00,361.84
2020-09-23 08:00:00,361.93
2020-09-24 08:00:00,361.99
2020-09-25 08:00:00,362.06
2020-09-26 08:00:00,362.12
2020-09-27 08:00:00,362.19
2020-09-28 08:00:00,362.25
2020-09-29 08:00:00,362.3
2020-09-30 08:00:00,362.35
2020-10-01 08:00:00,362.39
2020-10-11 08:00:00,363.57
2020-10-21 08:00:00,364.37
2020-11-01 08:00:00,364.78
2020-11-11 08:00:00,363.77
2020-11-21 08:00:00,362.68
2020-12-01 08:00:00,362.77
2020-12-11 08:00:00,362.83
2020-12-21 08:00:00,362.86
2021-01-01 08:00:00,362.88
2021-01-11 08:00:00,362.89
2021-01-21 08:00:00,362.89
2021-02-01 08:00:00,362.9
2021-02-11 08:00:00,362.91
2021-02-21 08:00:00,362.91
2021-03-01 08:00:00,362.91
2021-03-11 08:00:00,362.92
2021-03-21 08:00:00,362.93
2021-04-01 08:00:00,363.57
2021-04-11 08:00:00,364.01
2021-04-21 08:00:00,364.26
2021-05-01 08:00:00,364.6
2021-05-11 08:00:00,364.65
2021-05-21 08:00:00,364.34
2021-06-01 08:00:00,363.57
2021-06-02 08:00:00,363.46
2021-06-03 08:00:00,363.39
2021-06-04 08:00:00,363.4
2021-06-05 08:00:00,363.41
2021-06-06 08:00:00,363.4
2021-06-07 08:00:00,363.38
2021-06-08 08:00:00,363.34
