TM,Z
2020/1/1 8:00,91.86
2020/1/2 8:00,91.96
2020/1/3 8:00,92.06
2020/1/4 8:00,92.06
2020/1/5 8:00,92.11
2020/1/6 8:00,92.09
2020/1/7 8:00,92.06
2020/1/8 8:00,92.08
2020/1/9 8:00,92.16
2020/1/10 8:00,92.29
2020/1/11 8:00,92.36
2020/1/12 8:00,92.51
2020/1/13 8:00,92.13
2020/1/14 8:00,92.13
2020/1/15 8:00,92.03
2020/1/16 8:00,92
2020/1/17 8:00,92.06
2020/1/18 8:00,92.01
2020/1/19 8:00,91.89
2020/1/20 8:00,91.81
2020/1/21 8:00,91.94
2020/1/22 8:00,91.91
2020/1/23 8:00,92.02
2020/1/24 8:00,92.11
2020/1/25 8:00,92.21
2020/1/26 8:00,92.19
2020/1/27 8:00,92.21
2020/1/28 8:00,92.02
2020/1/29 8:00,91.86
2020/1/30 8:00,91.82
2020/1/31 8:00,91.74
2020/2/1 8:00,91.74
2020/2/2 8:00,91.83
2020/2/3 8:00,91.92
2020/2/4 8:00,91.98
2020/2/5 8:00,91.92
2020/2/6 8:00,91.9
2020/2/7 8:00,91.98
2020/2/8 8:00,92.05
2020/2/9 8:00,92.11
2020/2/10 8:00,91.98
2020/2/11 8:00,91.87
2020/2/12 8:00,91.79
2020/2/13 8:00,91.71
2020/2/14 8:00,91.64
2020/2/15 8:00,91.65
2020/2/16 8:00,91.63
2020/2/17 8:00,91.61
2020/2/18 8:00,91.58
2020/2/19 8:00,91.61
2020/2/20 8:00,91.61
2020/2/21 8:00,91.56
2020/2/22 8:00,91.55
2020/2/23 8:00,91.53
2020/2/24 8:00,91.61
2020/2/25 8:00,91.54
2020/2/26 8:00,91.51
2020/2/27 8:00,91.48
2020/2/28 8:00,91.44
2020/2/29 8:00,91.42
2020/3/1 8:00,91.42
2020/3/2 8:00,91.39
2020/3/3 8:00,91.34
2020/3/4 8:00,91.36
2020/3/5 8:00,91.31
2020/3/6 8:00,91.28
2020/3/7 8:00,91.21
2020/3/8 8:00,91.34
2020/3/9 8:00,91.24
2020/3/10 8:00,91.16
2020/3/11 8:00,91.26
2020/3/12 8:00,91.21
2020/3/13 8:00,91.14
2020/3/14 8:00,91.13
2020/3/15 8:00,90.98
2020/3/16 8:00,91.11
2020/3/17 8:00,91.13
2020/3/18 8:00,91.15
2020/3/19 8:00,91.17
2020/3/20 8:00,91.24
2020/3/21 8:00,91.22
2020/3/22 8:00,91.35
2020/3/23 8:00,91.38
2020/3/24 8:00,91.32
2020/3/25 8:00,91.52
2020/3/26 8:00,91.69
2020/3/27 8:00,91.79
2020/3/28 8:00,91.77
2020/3/29 8:00,91.78
2020/3/30 8:00,91.8
2020/3/31 8:00,91.76
2020/4/1 8:00,91.7
2020/4/2 8:00,91.68
2020/4/2 11:00,91.69
2020/4/2 14:00,91.71
2020/4/2 17:00,91.73
2020/4/3 8:00,92.97
2020/4/3 11:00,92.87
2020/4/3 14:00,93.21
2020/4/3 17:00,93.34
2020/4/4 8:00,93.43
2020/4/4 11:00,93.43
2020/4/4 14:00,93.5
2020/4/4 17:00,93.53
2020/4/5 8:00,92.91
2020/4/5 11:00,92.87
2020/4/5 14:00,92.84
2020/4/5 17:00,92.49
2020/4/6 8:00,90.79
2020/4/6 11:00,90.95
2020/4/6 14:00,90.97
2020/4/6 17:00,90.97
2020/4/7 8:00,90.85
2020/4/7 11:00,90.82
2020/4/7 14:00,90.85
2020/4/7 17:00,90.95
2020/4/8 8:00,91.06
2020/4/8 11:00,91.1
2020/4/8 14:00,91.13
2020/4/9 8:00,90.88
2020/4/10 8:00,90.86
2020/4/11 8:00,91.26
2020/4/12 8:00,91.6
2020/4/13 8:00,91.4
2020/4/14 8:00,90.62
2020/4/15 8:00,90.53
2020/4/16 8:00,90.53
2020/4/17 8:00,90.54
2020/4/18 8:00,90.61
2020/4/19 8:00,90.55
2020/4/20 8:00,90.45
2020/4/21 8:00,90.47
2020/4/22 8:00,90.45
2020/4/23 8:00,90.57
2020/4/24 8:00,90.59
2020/4/25 8:00,90.55
2020/4/26 8:00,90.55
2020/4/27 8:00,90.51
2020/4/28 8:00,90.49
2020/4/29 8:00,90.45
2020/4/30 8:00,90.44
2020/5/1 8:00,90.52
