TM,Z
2020-05-11 10:30:00,97.29
2020-05-11 11:00:00,97.29
2020-05-11 12:00:00,97.29
2020-05-11 13:00:00,97.29
2020-05-11 14:00:00,97.29
2020-05-11 15:00:00,97.29
2020-05-11 16:00:00,97.29
2020-05-11 17:00:00,97.29
2020-05-11 18:00:00,97.29
2020-05-11 18:36:00,97.3
2020-05-11 19:00:00,97.3
2020-05-11 20:00:00,97.3
2020-05-11 21:00:00,97.3
2020-05-11 22:00:00,97.3
2020-05-11 23:00:00,97.3
2020-05-11 23:30:00,97.31
2020-05-12 00:00:00,97.31
2020-05-12 01:00:00,97.31
2020-05-12 02:00:00,97.31
2020-05-12 02:30:00,97.32
2020-05-12 03:00:00,97.32
2020-05-12 04:00:00,97.32
2020-05-12 04:54:00,97.33
2020-05-12 05:00:00,97.33
2020-05-12 06:00:00,97.33
2020-05-12 06:48:00,97.34
2020-05-12 07:00:00,97.34
2020-05-12 08:00:00,97.34
2020-05-12 08:12:00,97.35
2020-05-12 09:00:00,97.35
2020-05-12 09:24:00,97.36
2020-05-12 10:00:00,97.36
2020-05-12 10:18:00,97.37
2020-05-12 11:00:00,97.37
2020-05-12 11:06:00,97.38
2020-05-12 11:48:00,97.39
2020-05-12 12:00:00,97.39
2020-05-12 12:24:00,97.4
2020-05-12 13:00:00,97.41
2020-05-12 13:30:00,97.42
2020-05-12 14:00:00,97.42
2020-05-12 14:18:00,97.43
2020-05-12 14:48:00,97.44
2020-05-12 15:00:00,97.44
2020-05-12 15:18:00,97.45
2020-05-12 16:00:00,97.46
2020-05-12 16:36:00,97.47
2020-05-12 17:00:00,97.47
2020-05-12 17:24:00,97.48
2020-05-12 18:00:00,97.49
2020-05-12 18:54:00,97.5
2020-05-12 19:00:00,97.5
2020-05-12 19:42:00,97.51
2020-05-12 20:00:00,97.51
2020-05-12 20:48:00,97.52
2020-05-12 21:00:00,97.52
2020-05-12 21:30:00,97.53
2020-05-12 22:00:00,97.53
2020-05-12 22:18:00,97.54
2020-05-12 23:00:00,97.55
2020-05-12 23:30:00,97.56
2020-05-13 00:00:00,97.56
2020-05-13 00:18:00,97.57
2020-05-13 00:54:00,97.58
2020-05-13 01:00:00,97.58
2020-05-13 01:30:00,97.59
2020-05-13 02:00:00,97.59
2020-05-13 02:06:00,97.6
2020-05-13 02:48:00,97.61
2020-05-13 03:00:00,97.61
2020-05-13 03:12:00,97.62
2020-05-13 03:18:00,97.61
2020-05-13 03:24:00,97.62
2020-05-13 03:54:00,97.63
2020-05-13 04:00:00,97.63
2020-05-13 04:30:00,97.64
2020-05-13 04:36:00,97.63
2020-05-13 04:42:00,97.64
2020-05-13 05:00:00,97.64
2020-05-13 05:06:00,97.65
2020-05-13 06:00:00,97.65
2020-05-13 06:06:00,97.66
2020-05-13 06:30:00,97.67
2020-05-13 07:00:00,97.68
2020-05-13 08:00:00,97.68
2020-05-13 08:06:00,97.69
2020-05-13 08:30:00,97.7
2020-05-13 09:00:00,97.7
2020-05-13 09:06:00,97.71
2020-05-13 09:30:00,97.72
2020-05-13 10:00:00,97.73
2020-05-13 10:36:00,97.74
2020-05-13 11:00:00,97.75
2020-05-13 11:36:00,97.76
2020-05-13 12:00:00,97.76
2020-05-13 12:18:00,97.77
2020-05-13 12:36:00,97.78
2020-05-13 13:00:00,97.78
2020-05-13 13:18:00,97.79
2020-05-13 14:00:00,97.8
2020-05-13 14:36:00,97.81
2020-06-01 11:00:00,97.32
2020-06-01 12:00:00,97.33
2020-06-01 12:12:00,97.34
2020-06-01 12:36:00,97.35
2020-06-01 13:00:00,97.35
2020-06-01 13:06:00,97.36
2020-06-01 13:36:00,97.37
2020-06-01 14:00:00,97.37
2020-06-01 14:24:00,97.38
2020-06-01 15:00:00,97.39
2020-06-01 15:36:00,97.4
2020-06-01 16:00:00,97.4
2020-06-01 16:06:00,97.41
2020-06-01 16:30:00,97.42
2020-06-01 17:00:00,97.43
2020-06-01 17:24:00,97.44
2020-06-01 18:00:00,97.45
2020-06-01 18:24:00,97.46
2020-06-01 18:48:00,97.47
2020-06-01 19:00:00,97.47
2020-06-01 19:06:00,97.48
2020-06-01 19:30:00,97.49
2020-06-01 19:42:00,97.5
2020-06-01 20:00:00,97.51
2020-06-01 20:18:00,97.52
2020-06-01 20:36:00,97.53
2020-06-01 20:48:00,97.54
2020-06-01 21:00:00,97.54
2020-06-01 21:06:00,97.55
2020-06-01 21:24:00,97.56
2020-06-01 21:36:00,97.57
2020-06-01 21:54:00,97.58
2020-06-01 22:00:00,97.58
2020-06-01 22:06:00,97.59
2020-06-01 22:24:00,97.6
2020-06-01 22:36:00,97.61
2020-06-01 22:54:00,97.62
2020-06-01 23:00:00,97.62
2020-06-01 23:06:00,97.63
2020-06-01 23:30:00,97.64
2020-06-01 23:36:00,97.65
2020-06-01 23:48:00,97.66
2020-06-02 00:00:00,97.67
2020-06-02 00:18:00,97.68
2020-06-02 00:30:00,97.69
2020-06-02 00:42:00,97.7
2020-06-02 00:54:00,97.71
2020-06-02 01:00:00,97.72
2020-06-02 01:18:00,97.73
2020-06-02 01:30:00,97.74
2020-06-02 01:48:00,97.75
2020-06-02 02:00:00,97.76
2020-06-02 02:06:00,97.77
2020-06-02 02:30:00,97.78
2020-06-02 02:42:00,97.79
2020-06-02 02:54:00,97.8
2020-06-02 03:00:00,97.81
2020-06-02 03:18:00,97.82
2020-06-02 03:30:00,97.83
2020-06-02 03:42:00,97.84
2020-06-02 04:00:00,97.85
2020-06-02 04:06:00,97.86
2020-06-02 04:24:00,97.87
2020-06-02 04:30:00,97.88
2020-06-02 04:42:00,97.89
2020-06-02 05:00:00,97.9
2020-06-02 05:06:00,97.91
2020-06-02 05:24:00,97.92
2020-06-02 05:36:00,97.93
2020-06-02 05:48:00,97.94
2020-06-02 06:00:00,97.95
2020-06-02 06:12:00,97.96
2020-06-02 06:30:00,97.97
2020-06-02 06:48:00,97.98
2020-06-02 07:00:00,97.99
2020-06-02 07:18:00,98.0
2020-06-02 07:30:00,98.01
2020-06-02 07:48:00,98.02
2020-06-02 08:00:00,98.02
2020-06-02 08:06:00,98.03
2020-06-02 08:24:00,98.04
2020-06-02 08:42:00,98.05
2020-06-02 09:00:00,98.06
2020-06-02 09:24:00,98.07
2020-06-02 09:30:00,98.08
2020-06-02 09:54:00,98.09
