TM,Z
2020-01-01 08:00:00,100.41
2020-01-02 08:00:00,100.4
2020-01-03 08:00:00,100.4
2020-01-04 08:00:00,100.39
2020-01-05 08:00:00,100.39
2020-01-06 08:00:00,100.38
2020-01-07 08:00:00,100.37
2020-01-08 08:00:00,100.37
2020-01-09 08:00:00,100.36
2020-01-10 08:00:00,100.36
2020-01-11 08:00:00,100.35
2020-01-12 08:00:00,100.35
2020-01-13 08:00:00,100.33
2020-01-14 08:00:00,100.31
2020-01-15 08:00:00,100.31
2020-01-16 08:00:00,100.29
2020-01-17 08:00:00,100.27
2020-01-18 08:00:00,100.25
2020-01-19 08:00:00,100.22
2020-01-20 08:00:00,100.2
2020-01-21 08:00:00,100.2
2020-01-22 08:00:00,100.19
2020-01-23 08:00:00,100.19
2020-01-24 08:00:00,100.2
2020-01-25 08:00:00,100.21
2020-01-26 08:00:00,100.21
2020-01-27 08:00:00,100.2
2020-01-28 08:00:00,100.2
2020-01-29 08:00:00,100.19
2020-01-30 08:00:00,100.18
2020-01-31 08:00:00,100.17
2020-02-01 08:00:00,100.16
2020-02-02 08:00:00,100.17
2020-02-03 08:00:00,100.17
2020-02-04 08:00:00,100.16
2020-02-05 08:00:00,100.15
2020-02-06 08:00:00,100.15
2020-02-07 08:00:00,100.14
2020-02-08 08:00:00,100.14
2020-02-09 08:00:00,100.13
2020-02-10 08:00:00,100.12
2020-02-11 08:00:00,100.12
2020-02-12 08:00:00,100.12
2020-02-13 08:00:00,100.11
2020-02-14 08:00:00,100.11
2020-02-15 08:00:00,100.09
2020-02-16 08:00:00,100.07
2020-02-17 08:00:00,100.06
2020-02-18 08:00:00,100.04
2020-02-19 08:00:00,100.04
2020-02-20 08:00:00,100.03
2020-02-21 08:00:00,100.03
2020-02-22 08:00:00,100.02
2020-02-23 08:00:00,100.01
2020-02-24 08:00:00,100.01
2020-02-25 08:00:00,100.03
2020-02-26 08:00:00,100.03
2020-02-27 08:00:00,100.05
2020-02-28 08:00:00,100.05
2020-02-29 08:00:00,100.06
2020-03-01 08:00:00,100.06
2020-03-02 08:00:00,100.07
2020-03-03 08:00:00,100.07
2020-03-04 08:00:00,100.08
2020-03-05 08:00:00,100.08
2020-03-06 08:00:00,100.09
2020-03-07 08:00:00,100.09
2020-03-08 08:00:00,100.1
2020-03-09 08:00:00,100.1
2020-03-10 08:00:00,100.12
2020-03-11 08:00:00,100.12
2020-03-12 08:00:00,100.13
2020-03-13 08:00:00,100.14
2020-03-14 08:00:00,100.14
2020-03-15 08:00:00,100.15
2020-03-16 08:00:00,100.15
2020-03-17 08:00:00,100.14
2020-03-18 08:00:00,100.12
2020-03-19 08:00:00,100.1
2020-03-20 08:00:00,100.1
2020-03-21 08:00:00,100.12
2020-03-22 08:00:00,100.18
2020-03-23 08:00:00,100.23
2020-03-24 08:00:00,100.29
2020-03-25 08:00:00,100.34
2020-03-26 08:00:00,100.46
2020-03-27 08:00:00,100.7
2020-03-28 08:00:00,100.92
2020-03-29 08:00:00,101.04
2020-03-30 08:00:00,101.02
2020-03-31 08:00:00,101.0
2020-04-01 08:00:00,101.3
2020-04-02 08:00:00,101.41
2020-04-02 11:00:00,101.41
2020-04-02 14:00:00,101.42
2020-04-02 17:00:00,101.4
2020-04-03 08:00:00,101.35
2020-04-03 11:00:00,101.33
2020-04-03 14:00:00,101.28
2020-04-03 17:00:00,101.27
2020-04-04 08:00:00,101.17
2020-04-04 11:00:00,101.15
2020-04-04 14:00:00,101.14
2020-04-04 17:00:00,101.14
2020-04-05 08:00:00,101.15
2020-04-05 11:00:00,101.17
2020-04-05 14:00:00,101.17
2020-04-05 17:00:00,101.2
2020-04-06 08:00:00,101.4
2020-04-06 11:00:00,101.41
2020-04-06 14:00:00,101.41
2020-04-06 17:00:00,101.42
2020-04-07 08:00:00,102.44
2020-04-07 11:00:00,102.45
2020-04-07 14:00:00,102.47
2020-04-07 17:00:00,102.47
2020-04-08 08:00:00,102.52
2020-04-08 11:00:00,102.55
2020-04-08 14:00:00,102.55
2020-04-09 08:00:00,102.3
2020-04-10 08:00:00,101.72
2020-04-11 08:00:00,101.31
2020-04-12 08:00:00,100.7
2020-04-13 08:00:00,100.52
2020-04-14 08:00:00,100.5
2020-04-15 08:00:00,100.5
2020-04-16 08:00:00,100.51
2020-04-17 08:00:00,100.53
2020-04-18 08:00:00,100.54
2020-04-19 08:00:00,100.54
2020-04-20 08:00:00,100.53
2020-04-21 08:00:00,100.53
2020-04-22 08:00:00,100.54
2020-04-23 08:00:00,100.54
2020-04-24 08:00:00,100.5
2020-04-25 08:00:00,100.48
2020-04-26 08:00:00,100.48
2020-04-27 08:00:00,100.48
2020-04-28 08:00:00,100.47
2020-04-29 08:00:00,100.44
2020-04-30 08:00:00,100.42
2020-05-01 08:00:00,100.4
2020-05-02 08:00:00,100.4
2020-05-03 08:00:00,100.39
2020-05-04 08:00:00,100.39
2020-05-05 08:00:00,100.39
2020-05-06 08:00:00,100.72
2020-05-07 08:00:00,100.7
2020-05-08 08:00:00,100.69
2020-05-09 08:00:00,100.6
2020-05-10 08:00:00,100.58
2020-05-11 08:00:00,100.54
2020-05-12 08:00:00,100.53
2020-05-13 08:00:00,100.62
2020-05-14 08:00:00,100.6
2020-05-15 08:00:00,100.6
2020-05-16 08:00:00,100.59
2020-05-17 08:00:00,100.82
2020-05-18 08:00:00,101.0
2020-05-19 08:00:00,100.85
2020-05-20 08:00:00,100.64
2020-05-21 08:00:00,100.55
2020-05-22 08:00:00,100.65
2020-05-23 08:00:00,100.98
2020-05-24 08:00:00,100.95
2020-05-25 08:00:00,101.0
2020-05-26 08:00:00,100.88
2020-05-27 08:00:00,100.79
2020-05-28 08:00:00,100.61
2020-05-29 08:00:00,100.64
2020-05-30 08:00:00,100.85
2020-05-31 08:00:00,100.88
2020-06-01 08:00:00,100.75
2020-06-01 09:00:00,100.74
2020-06-01 10:00:00,100.74
2020-06-01 11:00:00,100.74
2020-06-01 12:00:00,100.73
2020-06-01 13:00:00,100.73
2020-06-01 14:00:00,100.73
2020-06-01 15:00:00,100.72
2020-06-01 16:00:00,100.72
2020-06-01 17:00:00,100.72
2020-06-01 18:00:00,100.72
2020-06-01 19:00:00,100.71
2020-06-01 20:00:00,100.71
2020-06-01 21:00:00,100.71
2020-06-01 22:00:00,100.71
2020-06-01 23:00:00,100.71
2020-06-02 00:00:00,100.7
2020-06-02 00:36:00,100.7
2020-06-02 01:00:00,100.7
2020-06-02 02:00:00,100.7
2020-06-02 03:00:00,100.69
2020-06-02 04:00:00,100.69
2020-06-02 05:00:00,100.69
2020-06-02 06:00:00,100.69
2020-06-02 07:00:00,100.69
2020-06-02 08:00:00,100.7
2020-06-02 09:00:00,100.7
2020-06-02 10:00:00,100.7
2020-06-02 11:00:00,100.69
2020-06-02 12:00:00,100.7
2020-06-02 13:00:00,100.69
2020-06-02 14:00:00,100.69
2020-06-02 15:00:00,100.69
2020-06-02 16:00:00,100.69
2020-06-02 17:00:00,100.69
2020-06-02 18:00:00,100.69
2020-06-02 19:00:00,100.69
2020-06-02 20:00:00,100.69
2020-06-02 21:00:00,100.69
2020-06-02 22:00:00,100.69
2020-06-02 23:00:00,100.7
2020-06-03 00:00:00,100.7
2020-06-03 00:36:00,100.7
2020-06-03 01:00:00,100.7
2020-06-03 01:12:00,100.7
2020-06-03 02:00:00,100.7
2020-06-03 03:00:00,100.7
2020-06-03 04:00:00,100.7
2020-06-03 05:00:00,100.7
2020-06-03 06:00:00,100.7
2020-06-03 07:00:00,100.7
2020-06-03 08:00:00,100.7
2020-06-03 09:00:00,100.7
2020-06-03 10:00:00,100.71
2020-06-03 11:00:00,100.71
2020-06-03 12:00:00,100.71
2020-06-03 13:00:00,100.71
2020-06-03 14:00:00,100.71
2020-06-03 15:00:00,100.71
2020-06-03 16:00:00,100.71
2020-06-03 17:00:00,100.7
2020-06-03 18:00:00,100.7
2020-06-03 19:00:00,100.7
2020-06-03 20:00:00,100.71
2020-06-03 21:00:00,100.71
2020-06-03 22:00:00,100.71
2020-06-03 23:00:00,100.71
2020-06-04 00:00:00,100.7
2020-06-04 00:36:00,100.7
2020-06-04 01:00:00,100.7
2020-06-04 02:00:00,100.7
2020-06-04 03:00:00,100.7
2020-06-04 04:00:00,100.7
2020-06-04 05:00:00,100.7
2020-06-04 06:00:00,100.7
2020-06-04 07:00:00,100.71
2020-06-04 08:00:00,100.71
2020-06-04 09:00:00,100.71
2020-06-04 10:00:00,100.71
2020-06-04 11:00:00,100.71
2020-06-04 12:00:00,100.71
2020-06-04 13:00:00,100.71
2020-06-04 14:00:00,100.72
2020-06-04 15:00:00,100.73
2020-06-04 16:00:00,100.74
2020-06-04 17:00:00,100.75
2020-06-04 18:00:00,100.75
2020-06-04 19:00:00,100.76
2020-06-04 20:00:00,100.76
2020-06-04 21:00:00,100.76
2020-06-04 22:00:00,100.77
2020-06-04 23:00:00,100.77
2020-06-05 00:00:00,100.77
2020-06-05 01:00:00,100.77
2020-06-05 02:00:00,100.78
2020-06-05 03:00:00,100.79
2020-06-05 04:00:00,100.79
2020-06-05 05:00:00,100.8
2020-06-05 06:00:00,100.8
2020-06-05 07:00:00,100.81
2020-06-05 08:00:00,100.81
2020-06-05 09:00:00,100.82
2020-06-05 10:00:00,100.82
2020-06-05 11:00:00,100.82
2020-06-05 12:00:00,100.82
2020-06-05 13:00:00,100.82
2020-06-05 14:00:00,100.83
2020-06-05 15:00:00,100.82
2020-06-05 16:00:00,100.83
2020-06-05 17:00:00,100.83
2020-06-05 18:00:00,100.83
2020-06-05 19:00:00,100.83
2020-06-05 20:00:00,100.83
2020-06-05 21:00:00,100.82
2020-06-05 22:00:00,100.82
2020-06-05 23:00:00,100.82
2020-06-06 00:00:00,100.82
2020-06-06 00:36:00,100.82
2020-06-06 01:00:00,100.82
2020-06-06 02:00:00,100.82
2020-06-06 03:00:00,100.82
2020-06-06 04:00:00,100.82
2020-06-06 05:00:00,100.81
2020-06-06 06:00:00,100.81
2020-06-06 07:00:00,100.81
2020-06-06 08:00:00,100.8
2020-06-06 09:00:00,100.8
2020-06-06 10:00:00,100.8
2020-06-06 11:00:00,100.79
2020-06-06 12:00:00,100.79
2020-06-06 13:00:00,100.79
2020-06-06 14:00:00,100.78
2020-06-06 15:00:00,100.78
2020-06-06 16:00:00,100.77
2020-06-06 17:00:00,100.77
2020-06-06 18:00:00,100.77
2020-06-06 19:00:00,100.77
2020-06-06 20:00:00,100.76
2020-06-06 21:00:00,100.76
2020-06-06 22:00:00,100.76
2020-06-06 23:00:00,100.75
2020-06-07 00:00:00,100.75
2020-06-07 00:36:00,100.75
2020-06-07 01:00:00,100.75
2020-06-07 02:00:00,100.74
